num;callsign;dmrid;name;country;ctry
197;2E0OFX;2352357;Philip;United Kingdom;GBR
198;2E0OGZ;2352670;Gary;United Kingdom;GBR
199;2E0OOP;2351554;Piers;United Kingdom;GBR
200;2E0OPS;2351504;Dale;United Kingdom;GBR
201;2E0OPU;2352827;Kevin;United Kingdom;GBR
202;2E0OSE;2352627;Paul;United Kingdom;GBR
203;2E0OTO;2341086;Chris;United Kingdom;GBR
204;2E0OZE;2352039;Mike;United Kingdom;GBR
205;2E0PBK;2352263;Paul;United Kingdom;GBR
206;2E0PBY;2352483;Paul;United Kingdom;GBR
207;2E0PDP;2352673;JOHN;United Kingdom;GBR
208;2E0PKU;2351703;David;United Kingdom;GBR
209;2E0RAG;2341109;Allan;United Kingdom;GBR
210;2E0RAM;2351919;Richard;United Kingdom;GBR
211;2E0RBQ;2351029;Roberta;United Kingdom;GBR
212;2E0RBS;2352950;Martin;United Kingdom;GBR
213;2E0RCG;2352291;Anthomy;United Kingdom;GBR
214;2E0RCH;2351293;Robert;United Kingdom;GBR
215;2E0RCK;2352821;Michael;United Kingdom;GBR
216;2E0RCW;2352786;Cliff;United Kingdom;GBR
217;2E0RHG;2352890;Robert;United Kingdom;GBR
218;2E0RHM;2351148;Robert;United Kingdom;GBR
219;2E0RKA;2351655;Mark;United Kingdom;GBR
220;2E0RKO;2351936;Norman;United Kingdom;GBR
221;2E0RMM;2352955;John;United Kingdom;GBR
222;2E0RMT;2351651;Mark;United Kingdom;GBR
223;2E0RTM;2341013;Stephen;United Kingdom;GBR
224;2E0RTQ;2351999;Kieron;United Kingdom;GBR
225;2E0RVV;2352859;David;United Kingdom;GBR
226;2E0RYP;2352689;Christopher lee;United Kingdom;GBR
227;2E0SAF;2351218;Sean;United Kingdom;GBR
228;2E0SAJ;2352734;Jonathan;United Kingdom;GBR
229;2E0SAU;2351494;Cyril;United Kingdom;GBR
230;2E0SBN;2352626;Brian;United Kingdom;GBR
231;2E0SCM;2351607;John;United Kingdom;GBR
232;2E0SCS;2352051;Stephen;United Kingdom;GBR
233;2E0SDH;2351070;Scott;United Kingdom;GBR
234;2E0SGG;2351915;Steve;United Kingdom;GBR
235;2E0SHY;2351901;William;United Kingdom;GBR
236;2E0SJA;2352791;Andy;United Kingdom;GBR
237;2E0SKF;2341190;Sam;United Kingdom;GBR
238;2E0SLE;2351592;Stephanie;United Kingdom;GBR
239;2E0SLK;2351717;James;United Kingdom;GBR
240;2E0SLT;2351107;Steve;United Kingdom;GBR
241;2E0SPC;2341219;Peter;United Kingdom;GBR
242;2E0SPG;2351260;Martin;United Kingdom;GBR
243;2E0SQK;2351769;Paul;United Kingdom;GBR
244;2E0SQK;2351873;Paul;United Kingdom;GBR
245;2E0SSJ ;2351383;Scott;United Kingdom;GBR
246;2E0SST;2352812;Stephen;United Kingdom;GBR
247;2E0STJ;2352985;John;United Kingdom;GBR
248;2E0STZ;2351472;Stuart;United Kingdom;GBR
249;2E0SVZ;2341130;Andrew;United Kingdom;GBR
250;2E0TBD;2352701;Andrew;United Kingdom;GBR
251;2E0TBR;2351617;Howard;United Kingdom;GBR
252;2E0TBR;2351328;Howard;United Kingdom;GBR
253;2E0TBS;2352733;Christopher;United Kingdom;GBR
254;2E0TCS;2352758;Wayne;United Kingdom;GBR
255;2E0TCZ;2351939;Tony;United Kingdom;GBR
256;2E0TCZ;2351994;Tony;United Kingdom;GBR
257;2E0TEI;2352244;Martyn;United Kingdom;GBR
258;2E0TJW;2352125;Tim;United Kingdom;GBR
259;2E0TJX;2352004;Tim;United Kingdom;GBR
260;2E0TNG;2351634;Mark;United Kingdom;GBR
261;2E0TPS;2352914;Mat;United Kingdom;GBR
262;2E0TRB;2351053;Emin;United Kingdom;GBR
263;2E0TRB;2351054;Emin;United Kingdom;GBR
264;2E0TSI;2341024;Steve;United Kingdom;GBR
265;2E0TUN;2351478;Andrew;United Kingdom;GBR
266;2E0TWQ;2352779;JOHN;United Kingdom;GBR
267;2E0TYN;2352797;MIKE;United Kingdom;GBR
268;2E0TZR;2352161;Tristan;United Kingdom;GBR
269;2E0UCW;2351649;Chris;United Kingdom;GBR
270;2E0UCW;2351487;Christopher;United Kingdom;GBR
271;2E0UCW;2351745;Chris;United Kingdom;GBR
272;2E0UHJ;2352129;Philip;United Kingdom;GBR
273;2E0UKH;2352193;Chris;United Kingdom;GBR
274;2E0UKL;2352983;Martin;United Kingdom;GBR
275;2E0UKQ;2352963;Andy;United Kingdom;GBR
276;2E0ULA;2351734;Gary;United Kingdom;GBR
277;2E0ULC;2352769;Paul;United Kingdom;GBR
278;2E0ULH;2351181;David;United Kingdom;GBR
279;2E0UMB;2352606;Michael;United Kingdom;GBR
280;2E0UOJ;2341108;Kevin;United Kingdom;GBR
281;2E0UUC;2351106;Eric;United Kingdom;GBR
282;2E0UUU;2351158;Jim;United Kingdom;GBR
283;2E0UVO;2351429;Andy;United Kingdom;GBR
284;2E0UZK;2341098;Alan;United Kingdom;GBR
285;2E0VBM;2352911;ALAN;United Kingdom;GBR
286;2E0VCU;2351052;Paul;United Kingdom;GBR
287;2E0VCU;2351285;Paul;United Kingdom;GBR
288;2E0VEK;2352243;Kevin;United Kingdom;GBR
289;2E0VET;2351039;Steve;United Kingdom;GBR
290;2E0VIC;2352717;Vic;United Kingdom;GBR
291;2E0VJO;2351906;Jonathan;United Kingdom;GBR
292;2E0VLS;2341087;Arthur;United Kingdom;GBR
